thds     time     cpu%     mem%     utility
2        112      80.3    3.64      10
3        101      80.8    3.64      10
4        106      81.3    3.65      10  
5        108      80.2    3.65      10
6        107      82.8    3.65      10
7        110      81.7    3.65      10
8        112      80.3    3.65      10
16       104      81.6    3.65      10
25       109      80.0    3.67      10
40       122      75.3    3.68      10
60       132      71.6    3.70      10
90       141      70.0    3.70      10
